,date,sid,weight,beta,momentum,size,value,weight_benchmark,ticker,weight_pct
1,2018-12-31,AMGN,0.15,-0.05960922728752476,0.8634686783412702,0.04173120673367438,1.8747967720391034,0.0414,AMGN,15.0
9,2018-12-31,HON,0.15,-0.3326811773788496,-0.2949065269693901,0.12497644088529401,-0.1901591543645887,0.0327,HON,15.0
10,2018-12-31,IBM,0.15,-0.21005798126750336,-0.10022620993375864,0.11682571920922237,-0.4301926129723585,0.0377,IBM,15.0
17,2018-12-31,NKE,0.15,0.12641497008607935,1.5347660447776537,0.07729345240673906,0.12103380860633951,0.009000000000000001,NKE,15.0
18,2018-12-31,NVDA,0.15,2.313306219908566,-2.0699039489897215,0.07675955663347296,-0.7696919523191494,0.0202,NVDA,15.0
7,2018-12-31,GS,0.100666,0.3846918109071946,-1.8877294889817,0.43869378289739797,-0.8750707865096806,0.08789999999999999,GS,10.0666
24,2018-12-31,VZ,0.070325,-1.6505946464913757,0.1710197898291524,-0.334091737833361,-0.6402594527705866,0.0063,VZ,7.0325
22,2018-12-31,UNH,0.044131,-0.08465374784687515,-0.8878859588888288,-0.44396187117159336,-0.5386703535750256,0.0434,UNH,4.4131
8,2018-12-31,HD,0.024595,-0.044143885519464646,0.9065839524814677,-0.2589549996652539,3.0891427090309933,0.0535,HD,2.4595
23,2018-12-31,V,0.010137,0.6934915688016857,0.10651138879432571,-0.4739276597350429,0.13546264406398806,0.0528,V,1.0137
0,2018-12-31,AAPL,0.000146,0.6861476310334325,-1.2920549536169255,4.860297112423277,0.9520991387266717,0.0292,AAPL,0.0146
2,2018-12-31,AMZN,-0.0,1.751658824795453,-0.7583825651159974,-1.1279032381681078,-0.4247547124317662,0.029900000000000003,AMZN,-0.0
3,2018-12-31,AXP,-0.0,0.0945255532008122,-1.916112252064323,0.2407278853097052,-0.5746344228238611,0.0431,AXP,-0.0
4,2018-12-31,CAT,-0.0,1.3094431070785377,0.9822283897762207,0.34151892256269945,-0.4517949789049107,0.0513,CAT,-0.0
5,2018-12-31,CRM,-0.0,1.3558974027547899,1.0322824901612766,-0.19453373453420605,-0.554524023937866,0.0388,CRM,-0.0
6,2018-12-31,DIS,-0.0,-0.46074511112734723,0.5284957124659349,-0.4116990417473039,-0.595747802425781,0.0163,DIS,-0.0
11,2018-12-31,JNJ,0.0,-0.7818642477750299,-1.0765774023583652,-0.5707051018511002,-0.26324211756005383,0.022400000000000003,JNJ,0.0
12,2018-12-31,JPM,0.0,-0.0850950032120836,-1.1064668958899064,-0.4966812107551057,-0.8328828575561056,0.0383,JPM,0.0
13,2018-12-31,KO,0.0,-1.6634043279557233,0.7171001162912025,-0.33359907029088326,0.3392321131611309,0.0104,KO,0.0
14,2018-12-31,MMM,0.0,0.24730901006177664,0.08911662504320719,0.1850958914881079,2.4352069513557946,0.0217,MMM,0.0
