Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,36490000000.0,29.38,127.92,0.0066,2839991.0
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3632940000000.0,38.45,241.84,0.0191,56224379.0
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,369010000000.0,87.4,209.03,0.0196,13130241.0
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,87560000000.0,33.59,138.87,-0.0042,6229319.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,239350000000.0,18.01,138.01,0.0158,8719422.0
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,34870000000.0,8.3,92.91,0.0088,2539667.0
ACN,Accenture plc,Technology,Information Technology Services,Ireland,217980000000.0,29.21,348.5,-0.0235,5767864.0
ADBE,Adobe Inc,Technology,Software - Application,USA,190910000000.0,35.34,438.56,0.0031,3632091.0
ADI,Analog Devices Inc,Technology,Semiconductors,USA,114100000000.0,73.37,230.06,0.0277,4495131.0
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products,USA,22640000000.0,13.06,47.2,0.0131,6659339.0
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,128240000000.00002,32.88,315.18,0.0125,3288539.0
ADSK,Autodesk Inc,Technology,Software - Application,USA,58960000000.0,53.47,274.21,-0.0288,5072439.0
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,27410000000.0,22.97,101.56,0.021,1852356.0
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,56550000000.0,18.98,106.05,0.0085,4373894.0
AES,AES Corp,Utilities,Utilities - Diversified,USA,8240000000.0,8.06,11.59,0.1166,71307655.0
AFL,Aflac Inc,Financial,Insurance - Life,USA,59840000000.0,11.39,109.47,0.019,2661193.0
AIG,American International Group Inc,Financial,Insurance - Diversified,USA,49210000000.0,16.43,82.94,0.0408,9999552.0
AIZ,Assurant Inc,Financial,Insurance - Property & Casualty,USA,10560000000.0,14.37,207.89,-0.0149,860016.0
AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers,USA,86020000000.0,51.75,337.74,0.0137,1727667.0
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,12130000000.0,24.72,80.68,0.0361,5813934.0
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals,USA,9060000000.0,,77.03,-0.0246,2821304.0
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,13960000000.0,33.28,187.03,0.0068000000000000005,854351.0
ALL,Allstate Corp,Financial,Insurance - Property & Casualty,USA,52780000000.0,11.72,199.15,0.021,3317867.0
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,11110000000.0,18.88,128.71,0.0104,1209588.0
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials,USA,128419999999.99998,20.68,158.07,0.0091,9348160.0
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers,United Kingdom,14630000000.0,18.37,10.12,0.006,30796197.0
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,USA,161820000000.0,99.54,99.86,0.0034999999999999996,44916714.0
AME,Ametek Inc,Industrials,Specialty Industrial Machinery,USA,43660000000.0,31.94,189.3,0.0105,2096753.0
AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General,USA,165490000000.0,40.82,308.06,0.0073,3162355.0
AMP,Ameriprise Financial Inc,Financial,Asset Management,USA,53890000000.0,16.25,537.3,0.0213,517227.0
AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,96120000000.0,42.7,205.62,0.008100000000000001,3451751.0
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2249690000000.0,38.44,212.28,0.017,51608117.0
ANET,Arista Networks Inc,Technology,Computer Hardware,USA,117350000000.0,41.8,93.05,0.016200000000000003,12419838.0
ANSS,Ansys Inc,Technology,Software - Application,USA,29210000000.0,50.93,333.25,0.0087,837333.0
AON,Aon plc,Financial,Insurance Brokers,Ireland,88370000000.0,32.32,409.12,0.0127,1630317.0
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,9540000000.0,18.34,66.48,0.008199999999999999,1369179.0
APA,APA Corporation,Energy,Oil & Gas E&P,USA,7660000000.0,9.21,20.7,0.0137,40377408.0
APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,70340000000.0,18.36,316.15,0.012,1375073.0
APH,Amphenol Corp,Technology,Electronic Components,USA,80660000000.0,34.73,66.6,0.0174,10408657.0
APO,Apollo Global Management Inc,Financial,Asset Management,USA,85160000000.0,20.64,149.27,0.0124,4791941.0
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Switzerland,14940000000.0,9.47,65.12,-0.0031,5230004.0
ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,17700000000.0,56.8,102.26,0.0131,1910218.0
ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas,USA,24150000000.0,21.76,152.13,0.0166,1071620.0
AVB,Avalonbay Communities Inc,Real Estate,REIT - Residential,USA,32180000000.0,29.8,226.18,0.014199999999999999,1004295.0
AVGO,Broadcom Inc,Technology,Semiconductors,USA,934800000000.0,163.59,199.43,0.008199999999999999,39515041.0
AVY,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers,USA,14850000000.0,21.55,187.97,0.0134,707485.0
AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water,USA,26510000000.0,25.23,135.97,0.0146,2339086.0
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA,40300000000.0,110.52,528.45,0.005699999999999999,1153010.0
AXP,American Express Co,Financial,Credit Services,USA,211430000000.0,21.48,300.96,0.023,3296075.0
AZO,Autozone Inc,Consumer Cyclical,Specialty Retail,USA,58620000000.0,23.34,3493.01,0.013999999999999999,156737.0
BA,Boeing Co,Industrials,Aerospace & Defense,USA,130990000000.00002,,174.63,0.0046,5761350.0
BAC,Bank Of America Corp,Financial,Banks - Diversified,USA,350580000000.0,14.34,46.1,0.0449,62575132.0
BALL,Ball Corp,Consumer Cyclical,Packaging & Containers,USA,14900000000.0,,52.69,0.0121,3630958.0
BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies,USA,17660000000.0,,34.51,-0.0168,4775795.0
