index,date,ticker,sid,exchange,sector,weight,wgt
2024-01-31,2024-01-31,MMM,MMM,NYSE,Conglomerate,0.03333333333333333,0.021112667600560336
2024-01-31,2024-01-31,AXP,AXP,NYSE,Financial services,0.03333333333333333,0.043726235741444866
2024-01-31,2024-01-31,AMGN,AMGN,NASDAQ,Biopharmaceutical,0.03333333333333333,0.03892335401240744
2024-01-31,2024-01-31,AMZN,AMZN,NASDAQ,Retailing,0.03333333333333333,0.032119271562937764
2024-01-31,2024-01-31,AAPL,AAPL,NASDAQ,Information technology,0.03333333333333333,0.03251951170702422
2024-01-31,2024-01-31,BA,BA,NYSE,Aerospace and defense,0.03333333333333333,0.02461476886131679
2024-01-31,2024-01-31,CAT,CAT,NYSE,Construction and mining,0.03333333333333333,0.051330798479087454
2024-01-31,2024-01-31,CVX,CVX,NYSE,Petroleum industry,0.03333333333333333,0.021412847708625178
2024-01-31,2024-01-31,CSCO,CSCO,NASDAQ,Information technology,0.03333333333333333,0.008304982989793876
2024-01-31,2024-01-31,KO,KO,NYSE,Drink industry,0.03333333333333333,0.008805283169901942
2024-01-31,2024-01-31,DIS,DIS,NYSE,Broadcasting and entertainment,0.03333333333333333,0.015509305583350012
2024-01-31,2024-01-31,GS,GS,NYSE,Financial services,0.03333333333333333,0.08845307184310587
2024-01-31,2024-01-31,HD,HD,NYSE,Home Improvement,0.03333333333333333,0.056734040424254555
2024-01-31,2024-01-31,HON,HON,NASDAQ,Conglomerate,0.03333333333333333,0.03071843105863518
2024-01-31,2024-01-31,IBM,IBM,NYSE,Information technology,0.03333333333333333,0.03542125275165099
2024-01-31,2024-01-31,JNJ,JNJ,NYSE,Pharmaceutical industry,0.03333333333333333,0.02091254752851711
2024-01-31,2024-01-31,JPM,JPM,NYSE,Financial services,0.03333333333333333,0.03672203321993196
2024-01-31,2024-01-31,MCD,MCD,NYSE,Food industry,0.03333333333333333,0.03972383430058035
2024-01-31,2024-01-31,MRK,MRK,NYSE,Pharmaceutical industry,0.03333333333333333,0.013508104862917751
2024-01-31,2024-01-31,MSFT,MSFT,NASDAQ,Information technology,0.03333333333333333,0.05683410046027616
2024-01-31,2024-01-31,NKE,NKE,NYSE,Clothing industry,0.03333333333333333,0.010706423854312589
2024-01-31,2024-01-31,NVDA,NVDA,NASDAQ,Information technology,0.03333333333333333,0.017110266159695818
2024-01-31,2024-01-31,PG,PG,NYSE,Fast-moving consumer goods,0.03333333333333333,0.02291374824894937
2024-01-31,2024-01-31,CRM,CRM,NYSE,Information technology,0.03333333333333333,0.0470282169301581
2024-01-31,2024-01-31,SHW,SHW,NYSE,Specialty chemicals,0.03333333333333333,0.05003001801080648
2024-01-31,2024-01-31,TRV,TRV,NYSE,Insurance,0.03333333333333333,0.03412047228337002
2024-01-31,2024-01-31,UNH,UNH,NYSE,Managed health care,0.03333333333333333,0.07474484690814488
2024-01-31,2024-01-31,VZ,VZ,NYSE,Telecommunications industry,0.03333333333333333,0.0054032419451671004
2024-01-31,2024-01-31,V,V,NYSE,Financial services,0.03333333333333333,0.0470282169301581
2024-01-31,2024-01-31,WMT,WMT,NYSE,Retailing,0.03333333333333333,0.013508104862917751
2024-02-29,2024-02-29,MMM,MMM,NYSE,Conglomerate,0.03333333333333333,0.021112667600560336
2024-02-29,2024-02-29,AXP,AXP,NYSE,Financial services,0.03333333333333333,0.043726235741444866
2024-02-29,2024-02-29,AMGN,AMGN,NASDAQ,Biopharmaceutical,0.03333333333333333,0.03892335401240744
2024-02-29,2024-02-29,AMZN,AMZN,NASDAQ,Retailing,0.03333333333333333,0.032119271562937764
2024-02-29,2024-02-29,AAPL,AAPL,NASDAQ,Information technology,0.03333333333333333,0.03251951170702422
2024-02-29,2024-02-29,BA,BA,NYSE,Aerospace and defense,0.03333333333333333,0.02461476886131679
2024-02-29,2024-02-29,CAT,CAT,NYSE,Construction and mining,0.03333333333333333,0.051330798479087454
2024-02-29,2024-02-29,CVX,CVX,NYSE,Petroleum industry,0.03333333333333333,0.021412847708625178
2024-02-29,2024-02-29,CSCO,CSCO,NASDAQ,Information technology,0.03333333333333333,0.008304982989793876
2024-02-29,2024-02-29,KO,KO,NYSE,Drink industry,0.03333333333333333,0.008805283169901942
2024-02-29,2024-02-29,DIS,DIS,NYSE,Broadcasting and entertainment,0.03333333333333333,0.015509305583350012
2024-02-29,2024-02-29,GS,GS,NYSE,Financial services,0.03333333333333333,0.08845307184310587
2024-02-29,2024-02-29,HD,HD,NYSE,Home Improvement,0.03333333333333333,0.056734040424254555
2024-02-29,2024-02-29,HON,HON,NASDAQ,Conglomerate,0.03333333333333333,0.03071843105863518
2024-02-29,2024-02-29,IBM,IBM,NYSE,Information technology,0.03333333333333333,0.03542125275165099
2024-02-29,2024-02-29,JNJ,JNJ,NYSE,Pharmaceutical industry,0.03333333333333333,0.02091254752851711
2024-02-29,2024-02-29,JPM,JPM,NYSE,Financial services,0.03333333333333333,0.03672203321993196
2024-02-29,2024-02-29,MCD,MCD,NYSE,Food industry,0.03333333333333333,0.03972383430058035
2024-02-29,2024-02-29,MRK,MRK,NYSE,Pharmaceutical industry,0.03333333333333333,0.013508104862917751
2024-02-29,2024-02-29,MSFT,MSFT,NASDAQ,Information technology,0.03333333333333333,0.05683410046027616
2024-02-29,2024-02-29,NKE,NKE,NYSE,Clothing industry,0.03333333333333333,0.010706423854312589
2024-02-29,2024-02-29,NVDA,NVDA,NASDAQ,Information technology,0.03333333333333333,0.017110266159695818
2024-02-29,2024-02-29,PG,PG,NYSE,Fast-moving consumer goods,0.03333333333333333,0.02291374824894937
2024-02-29,2024-02-29,CRM,CRM,NYSE,Information technology,0.03333333333333333,0.0470282169301581
2024-02-29,2024-02-29,SHW,SHW,NYSE,Specialty chemicals,0.03333333333333333,0.05003001801080648
2024-02-29,2024-02-29,TRV,TRV,NYSE,Insurance,0.03333333333333333,0.03412047228337002
2024-02-29,2024-02-29,UNH,UNH,NYSE,Managed health care,0.03333333333333333,0.07474484690814488
2024-02-29,2024-02-29,VZ,VZ,NYSE,Telecommunications industry,0.03333333333333333,0.0054032419451671004
2024-02-29,2024-02-29,V,V,NYSE,Financial services,0.03333333333333333,0.0470282169301581
2024-02-29,2024-02-29,WMT,WMT,NYSE,Retailing,0.03333333333333333,0.013508104862917751
2024-04-30,2024-04-30,MMM,MMM,NYSE,Conglomerate,0.03333333333333333,0.021112667600560336
2024-04-30,2024-04-30,AXP,AXP,NYSE,Financial services,0.03333333333333333,0.043726235741444866
2024-04-30,2024-04-30,AMGN,AMGN,NASDAQ,Biopharmaceutical,0.03333333333333333,0.03892335401240744
2024-04-30,2024-04-30,AMZN,AMZN,NASDAQ,Retailing,0.03333333333333333,0.032119271562937764
2024-04-30,2024-04-30,AAPL,AAPL,NASDAQ,Information technology,0.03333333333333333,0.03251951170702422
2024-04-30,2024-04-30,BA,BA,NYSE,Aerospace and defense,0.03333333333333333,0.02461476886131679
2024-04-30,2024-04-30,CAT,CAT,NYSE,Construction and mining,0.03333333333333333,0.051330798479087454
2024-04-30,2024-04-30,CVX,CVX,NYSE,Petroleum industry,0.03333333333333333,0.021412847708625178
2024-04-30,2024-04-30,CSCO,CSCO,NASDAQ,Information technology,0.03333333333333333,0.008304982989793876
